Nome Comum,População,Área,Continente
Afghanistan,"46,498","652,000 km²",Asia
Albania,"37,625","28,748 km²",Europe
Algeria,"83,199","2,381,741 km²",Africa
Andorra,"6,712",468 km²,Europe
Angola,"15,139","1,246,620 km²",Africa
Antigua And Barbuda,0,440 km²,The Caribean
Argentina,"1,418,807","2,780,400 km²",South America
Armenia,"135,124","29,743 km²",Asia
Australia,"27,904","7,617,930 km²",Australia
Austria,"278,182","83,879 km²",Europe
Azerbaijan,"118,195","86,600 km²",Europe
Bahamas,"7,517","13,878 km²",The Caribean
Bahrain,"86,956",780 km²,Asia
Bangladesh,"464,932","148,460 km²",Asia
Barbados,276,431 km²,North America
Belarus,"135,008","207,595 km²",Europe
Belgium,"576,503","30,689 km²",Europe
Belize,"5,743","22,966 km²",Central America
Benin,"3,015","114,763 km²",Africa
Bhutan,410,"38,394 km²",Asia
Bolivia,0,"1,098,581 km²",South America
Bosnia and Herzegovina,"87,374","51,197 km²",Europe
Botswana,"9,992","581,730 km²",Africa
Brazil,"6,314,740","8,515,767 km²",South America
Brunei,0,"5,765 km²",Asia
Bulgaria,"142,486","110,994 km²",Europe
Burkina Faso,"2,886","274,200 km²",Africa
Burundi,689,"27,834 km²",Africa
Cambodia,326,"181,035 km²",Asia
Cameroon,"24,487","475,442 km²",Africa
Canada,"370,278","9,984,670 km²",North America
Central African Republic,"4,918","622,984 km²",Africa
Chad,"1,688","1,284,000 km²",Africa
Chile,"551,743","756,950 km²",South America
China,"93,577","9,600,000 km²",Asia
Colombia,"1,308,376","1,138,910 km²",South America
Comoros,611,"1,861 km²",Africa
Congo,"5,774","2,345,410 km²",Africa
Costa Rica,"137,093","51,100 km²",North America
Cote D'Ivoire,0,"322,463 km²",Africa
Croatia,"126,612","56,594 km²",Europe
Cuba,"8,284","109,884 km²",North America
Cyprus,"10,383","9,251 km²",Europe
Czech Republic,0,"78,866 km²",Europe
Denmark,"79,352","42,933 km²",Europe
Djibouti,"5,679","23,200 km²",Africa
Dominica,85,750 km²,North America
Dominican Republic,"143,988","48,442 km²",North America
Ecuador,"192,685","283,560 km²",South America
Egypt,"115,911","1,002,450 km²",Africa
El Salvador,"38,405","21,041 km²",Central America
Equatorial Guinea,"5,153","28,050 km²",Africa
Eritrea,577,"117,600 km²",Africa
Estonia,"12,052","45,227 km²",Europe
Ethiopia,"110,074","1,127,127 km²",Africa
Fiji,42,"18,333 km²",Oceana
Finland,"24,629","338,440 km²",Europe
France,"2,179,481","643,801 km²",Europe
Gabon,"9,191","267,667 km²",Africa
Gambia,"3,742","11,295 km²",Africa
Georgia,"135,584","153,909 km²",Europe
Germany,"1,053,869","357,386 km²",Europe
Ghana,"51,667","238,535 km²",Africa
Greece,"104,227","131,957 km²",Europe
Grenada,41,344 km²,North America
Guatemala,"122,062","108,889 km²",North America
Guinea,"13,097","245,857 km²",Africa
Guinea-Bissau,"2,422","36,125 km²",Africa
Guyana,"5,376","214,969 km²",South America
Haiti,"9,294","27,750 km²",North America
Honduras,"107,888","112,492 km²",Central America
Hungary,"217,122","93,030 km²",Europe
Iceland,"5,381","103,000 km²",Europe
India,"9,462,809","3,287,263 km²",Asia
Indonesia,"538,883","1,904,569 km²",Asia
Iran,0,"1,648,195 km²",Asia
Iraq,"552,549","437,072 km²",Asia
Ireland,"72,241","84,421 km²",Europe
Israel,"332,192","22,145 km²",Asia
Italy,"1,585,178","301,340 km²",Europe
Jamaica,"10,763","10,992 km²",The Caribean
Japan,"148,694","377,915 km²",Asia
